id,date,venue,temperature,precipitation
21800095,29/10/2018,Pepsi Center,75.77,0
21800096,30/10/2018,Spectrum Center,56.2,0
21800097,30/10/2018,Quicken Loans Arena,47.08,0
21800098,30/10/2018,Amway Center,76.89,0
21800099,30/10/2018,Td Garden,50.5,0
21800100,30/10/2018,Scotiabank Arena,46.04,NULL
21800101,30/10/2018,Toyota Center,82.25,0
21800102,30/10/2018,Fedex Forum,63.8,0
21800103,30/10/2018,Chesapeake Energy Arena,79.35,0
21800104,31/10/2018,Barclays Center,51.23,NULL
21800105,31/10/2018,Madison Square Garden,50.71,NULL
21800106,31/10/2018,United Center,65.38,NULL
21800107,31/10/2018,Target Center,49.29,NULL
21800108,31/10/2018,Oracle Arena,71.38,NULL
21800109,31/10/2018,Staples Center,74.57,NULL
21800110,31/10/2018,Talking Stick Resort Arena,83.47,NULL
21800111,01/11/2018,Spectrum Center,65.61,0
21800112,01/11/2018,Quicken Loans Arena,52.81,0.0707
21800113,01/11/2018,Wells Fargo Arena,76.1,0
21800114,01/11/2018,State Farm Arena,70.98,0
21800115,01/11/2018,Td Garden,53.58,0
21800116,01/11/2018,Moda Center,56.23,0.007
21800117,02/11/2018,Amway Center,78.75,0
21800118,02/11/2018,Barclays Center,64.1,0
21800119,02/11/2018,Capital Center,67.67,0
21800120,02/11/2018,United Center,46.36,0
21800121,02/11/2018,American Airlines Center,60.63,0
21800122,02/11/2018,Vivint Smart Home Arena,48.21,0
21800123,02/11/2018,Talking Stick Resort Arena,77.27,0
21800124,02/11/2018,Oracle Arena,81.12,0
21800125,03/11/2018,Wells Fargo Arena,81.07,0
21800126,03/11/2018,Spectrum Center,61.1,0
21800127,03/11/2018,Bankers Life Fieldhouse,45.09,0
21800128,03/11/2018,State Farm Arena,49.96,0
21800129,03/11/2018,United Center,44.77,0
21800130,03/11/2018,At&t Center,73.02,0
21800131,03/11/2018,Pepsi Center,60.52,0
21800132,03/11/2018,Moda Center,64.2,0
21800133,04/11/2018,Fiserv Forum,41.73,0
21800134,04/11/2018,Barclays Center,52.88,0
21800135,04/11/2018,Capital Center,53.81,0
21800136,04/11/2018,Talking Stick Resort Arena,81.1,0
21800137,04/11/2018,At&t Center,75.7,0
21800138,04/11/2018,Moda Center,57.68,0
21800139,04/11/2018,Staples Center,87.46,0
21800140,05/11/2018,Little Caesars Arena,49.18,0
21800141,05/11/2018,Bankers Life Fieldhouse,52.29,0.0008
21800142,05/11/2018,Amway Center,72.16,0.0337
21800143,05/11/2018,Madison Square Garden,48.96,0
21800144,05/11/2018,Chesapeake Energy Arena,56.48,0
21800145,05/11/2018,Pepsi Center,52.24,0
21800146,05/11/2018,Vivint Smart Home Arena,49.94,0
21800147,05/11/2018,Oracle Arena,71.28,0
21800148,05/11/2018,Staples Center,83.61,0
21800149,06/11/2018,Spectrum Center,59.73,0
21800150,06/11/2018,American Airlines Center,79.83,0
21800151,06/11/2018,Talking Stick Resort Arena,82.03,0
21800152,06/11/2018,Moda Center,54.94,0.0065
21800153,07/11/2018,Quicken Loans Arena,51.63,0
21800154,07/11/2018,Amway Center,79.11,0
21800155,07/11/2018,State Farm Arena,64.94,0
21800156,07/11/2018,American Airlines Center,73.01,0
21800157,07/11/2018,Bankers Life Fieldhouse,51.46,0
21800158,07/11/2018,Fedex Forum,64.61,0
21800159,07/11/2018,Smoothie King Center,75.19,0
21800160,07/11/2018,Vivint Smart Home Arena,44.78,0
21800161,07/11/2018,Golden 1 Center,74.02,0
21800162,07/11/2018,Staples Center,74.89,0
21800163,08/11/2018,Chesapeake Energy Arena,56.81,0
21800164,08/11/2018,Talking Stick Resort Arena,81.97,0
21800165,08/11/2018,Moda Center,50.79,0
21800166,08/11/2018,Oracle Arena,74.2,0
21800167,09/11/2018,Amway Center,80.22,0
21800168,09/11/2018,Wells Fargo Arena,80.47,0
21800169,09/11/2018,State Farm Arena,56.13,0.0265
21800170,09/11/2018,American Airlines Center,54.95,0
21800171,09/11/2018,Pepsi Center,39.07,0
21800172,09/11/2018,Vivint Smart Home Arena,40.36,0
21800173,09/11/2018,Golden 1 Center,72.28,0
21800174,10/11/2018,Scotiabank Arena,38.77,0.0354
21800175,10/11/2018,Staples Center,79.75,0
21800176,10/11/2018,Smoothie King Center,56.76,0
21800177,10/11/2018,American Airlines Center,53.68,0
21800178,10/11/2018,United Center,29.55,0
21800179,10/11/2018,Fedex Forum,44.87,0.0004
21800180,10/11/2018,At&t Center,56.35,0
21800181,10/11/2018,American Airlines Center,53.68,0
21800182,10/11/2018,Oracle Arena,66.66,0
21800183,10/11/2018,Golden 1 Center,64.27,0
21800184,11/11/2018,Little Caesars Arena,35.44,0
21800185,11/11/2018,Toyota Center,48.75,0
21800186,11/11/2018,Madison Square Garden,38.36,0
21800187,11/11/2018,Pepsi Center,53.39,0
21800188,11/11/2018,Moda Center,52.33,0
21800189,11/11/2018,Staples Center,76.32,0
21800190,12/11/2018,Capital Center,39.42,0
21800191,12/11/2018,American Airlines Center,51.67,0
21800192,12/11/2018,Scotiabank Arena,39.19,NULL
21800193,12/11/2018,United Center,38.62,0
21800194,12/11/2018,Fedex Forum,49.01,0
21800195,12/11/2018,Target Center,25.22,0
21800196,12/11/2018,Chesapeake Energy Arena,46.54,0
21800197,12/11/2018,Golden 1 Center,68.32,0
21800198,12/11/2018,Staples Center,75.88,0
21800199,13/11/2018,Quicken Loans Arena,38.58,0
21800200,13/11/2018,Pepsi Center,29.58,0.0022
21800201,13/11/2018,Oracle Arena,68.03,0
21800202,14/11/2018,Amway Center,80.93,0
21800203,14/11/2018,Capital Center,46.17,0
21800204,14/11/2018,Td Garden,44.35,0.0002
21800205,14/11/2018,Barclays Center,44.59,0
21800206,14/11/2018,Scotiabank Arena,33.46,NULL
21800207,14/11/2018,Fiserv Forum,23.43,0
21800208,14/11/2018,Target Center,20.32,0
21800209,14/11/2018,Chesapeake Energy Arena,31.29,0
21800210,14/11/2018,American Airlines Center,39.63,0
21800211,14/11/2018,Talking Stick Resort Arena,66.41,0
21800212,14/11/2018,Staples Center,74.12,0
21800213,15/11/2018,Toyota Center,50.13,0
21800214,15/11/2018,Pepsi Center,61.58,0
21800215,15/11/2018,Staples Center,78.9,0
21800216,16/11/2018,Td Garden,31.85,0
21800217,16/11/2018,Bankers Life Fieldhouse,33.23,0.0067
21800218,16/11/2018,Wells Fargo Arena,74.54,0
21800219,16/11/2018,Capital Center,36.01,0.0121
21800220,16/11/2018,Fedex Forum,40.62,0.0004
21800221,16/11/2018,Target Center,41.59,0
21800222,16/11/2018,Smoothie King Center,51.44,0
21800223,16/11/2018,Fiserv Forum,34.43,0
21800224,17/11/2018,Barclays Center,41.39,0.0009
21800225,17/11/2018,Spectrum Center,47.37,0
21800226,17/11/2018,Bankers Life Fieldhouse,37.81,0.0004
21800227,17/11/2018,Amway Center,57.93,0
21800228,17/11/2018,Smoothie King Center,57.06,0
21800229,17/11/2018,Td Garden,35.21,0.0003
21800230,17/11/2018,United Center,37.19,0
21800231,17/11/2018,Toyota Center,66.15,0
21800232,17/11/2018,American Airlines Center,69.25,0
21800233,17/11/2018,Talking Stick Resort Arena,75.76,0
21800234,18/11/2018,Target Center,24.98,0
21800235,18/11/2018,American Airlines Center,67.93,0
21800236,18/11/2018,Amway Center,67.97,0
21800237,18/11/2018,Capital Center,44.56,0
21800238,18/11/2018,At&t Center,69.04,0
21800239,19/11/2018,Spectrum Center,51.75,0
21800240,19/11/2018,Little Caesars Arena,36.24,0
21800241,19/11/2018,Bankers Life Fieldhouse,41.08,0
21800242,19/11/2018,Wells Fargo Arena,72.59,0
21800243,19/11/2018,State Farm Arena,56.19,0
21800244,19/11/2018,Fedex Forum,57.63,0
21800245,19/11/2018,Fiserv Forum,30.36,0
21800246,19/11/2018,Smoothie King Center,64.2,0
21800247,19/11/2018,Golden 1 Center,65.38,0
21800248,20/11/2018,Amway Center,72.99,0
21800249,20/11/2018,Capital Center,52.42,0
21800250,20/11/2018,American Airlines Center,53.55,0
21800251,20/11/2018,Madison Square Garden,46.44,0
21800252,21/11/2018,Spectrum Center,52.23,0
21800253,21/11/2018,Wells Fargo Arena,77.82,0
21800254,21/11/2018,State Farm Arena,49.12,0
21800255,21/11/2018,Td Garden,34.42,0.0106
21800256,21/11/2018,Quicken Loans Arena,31.27,0
21800257,21/11/2018,United Center,30.6,0
21800258,21/11/2018,Toyota Center,60.14,0
21800259,21/11/2018,Fiserv Forum,30.75,0
21800260,21/11/2018,Target Center,29.15,0
21800261,21/11/2018,American Airlines Center,57.01,0
21800262,21/11/2018,At&t Center,60.73,0
21800263,21/11/2018,Vivint Smart Home Arena,46.9,0
21800264,21/11/2018,Oracle Arena,65.14,0
21800265,23/11/2018,Barclays Center,24.14,0
21800266,23/11/2018,Staples Center,66.71,0
21800267,23/11/2018,Little Caesars Arena,26.96,0
21800268,23/11/2018,State Farm Arena,49.99,0
21800269,23/11/2018,Madison Square Garden,23.92,0
21800270,23/11/2018,Wells Fargo Arena,66,0
21800271,23/11/2018,Scotiabank Arena,19.4,NULL
21800272,23/11/2018,Bankers Life Fieldhouse,41.31,0
21800273,23/11/2018,United Center,35.41,0
21800274,23/11/2018,Chesapeake Energy Arena,58.37,0
21800275,23/11/2018,Fiserv Forum,35.91,0
21800276,23/11/2018,Pepsi Center,56.56,0
21800277,23/11/2018,Oracle Arena,61.3,0
21800278,23/11/2018,Staples Center,66.71,0
21800279,24/11/2018,Quicken Loans Arena,45.33,0
21800280,24/11/2018,Capital Center,33.18,0
21800281,24/11/2018,Target Center,40.36,0.0101
21800282,24/11/2018,Chesapeake Energy Arena,65.98,0
21800283,24/11/2018,American Airlines Center,73.07,0
21800284,24/11/2018,Fiserv Forum,44.2,0
21800285,24/11/2018,Oracle Arena,60.49,0.0396
21800286,25/11/2018,Staples Center,69.17,0
21800287,25/11/2018,Little Caesars Arena,48.62,0
21800288,25/11/2018,State Farm Arena,49.15,0
21800289,25/11/2018,Barclays Center,45.19,0
21800290,25/11/2018,Scotiabank Arena,42.09,0.0592
21800291,25/11/2018,Fedex Forum,59.84,0
21800292,25/11/2018,Golden 1 Center,61.31,0
21800293,25/11/2018,Moda Center,46.61,0
21800294,26/11/2018,Spectrum Center,50.71,0
21800295,26/11/2018,Quicken Loans Arena,42.93,0
21800296,26/11/2018,Capital Center,51.39,0
21800297,26/11/2018,United Center,37.37,0.0119
21800298,26/11/2018,Smoothie King Center,72.59,0
21800299,26/11/2018,Vivint Smart Home Arena,37.99,0
21800300,26/11/2018,Oracle Arena,64.28,0
21800301,27/11/2018,Little Caesars Arena,32.98,0
21800302,27/11/2018,American Airlines Center,50.44,0
21800303,27/11/2018,Fedex Forum,37.64,0
21800304,27/11/2018,Pepsi Center,49.01,0
21800305,27/11/2018,Talking Stick Resort Arena,75.06,0
21800306,28/11/2018,Spectrum Center,39.77,0
21800307,28/11/2018,Wells Fargo Arena,75.25,0
21800308,28/11/2018,Barclays Center,40.64,0
21800309,28/11/2018,Toyota Center,59.81,0
21800310,28/11/2018,Fiserv Forum,21.86,0
21800311,28/11/2018,Target Center,24.42,0
21800312,28/11/2018,Smoothie King Center,51.83,0
21800313,28/11/2018,Chesapeake Energy Arena,48.63,0
21800314,28/11/2018,Moda Center,56.15,0
21800315,28/11/2018,Staples Center,73.84,0
21800316,29/11/2018,Scotiabank Arena,36.69,NULL
21800317,29/11/2018,Staples Center,66.73,0
21800318,29/11/2018,Golden 1 Center,62.46,0
21800319,30/11/2018,Td Garden,39.6,0
21800320,30/11/2018,Spectrum Center,51.36,0
21800321,30/11/2018,Little Caesars Arena,30.78,0
21800322,30/11/2018,Wells Fargo Arena,68.59,0
21800323,30/11/2018,Barclays Center,41.11,0
21800324,30/11/2018,American Airlines Center,77.04,0
21800325,30/11/2018,Chesapeake Energy Arena,58.25,0
21800326,30/11/2018,At&t Center,73.01,0
21800327,30/11/2018,Talking Stick Resort Arena,68.65,0
21800328,30/11/2018,Staples Center,61.43,0.005
21800329,30/11/2018,Moda Center,50.46,0
21800330,01/12/2018,Madison Square Garden,39.27,0
21800331,01/12/2018,Little Caesars Arena,36.74,0
21800332,01/12/2018,Quicken Loans Arena,37.25,0
21800333,01/12/2018,Capital Center,42.77,0
21800334,01/12/2018,Toyota Center,75.15,0
21800335,01/12/2018,Target Center,30.21,0
21800336,01/12/2018,Golden 1 Center,59.63,0
21800337,02/12/2018,Staples Center,63.57,0
21800338,02/12/2018,Spectrum Center,55,0.0153
21800339,02/12/2018,American Airlines Center,70.18,0
21800340,02/12/2018,Wells Fargo Arena,63.22,0
21800341,02/12/2018,American Airlines Center,70.18,0
21800342,02/12/2018,At&t Center,77.5,0
21800343,03/12/2018,Little Caesars Arena,52.28,0.0073
21800344,03/12/2018,State Farm Arena,63.99,0
21800345,03/12/2018,Barclays Center,51.98,0.0057
21800346,03/12/2018,Madison Square Garden,51.97,0.0051
21800347,03/12/2018,Scotiabank Arena,47.49,NULL
21800348,03/12/2018,Target Center,30.15,0
21800349,03/12/2018,Smoothie King Center,71.47,0
21800350,04/12/2018,Bankers Life Fieldhouse,35.93,0.0031
21800351,04/12/2018,American Airlines Center,51.43,0
21800352,04/12/2018,American Airlines Center,51.43,0
21800353,04/12/2018,Talking Stick Resort Arena,62.38,0
21800354,04/12/2018,Vivint Smart Home Arena,29.83,0
21800355,05/12/2018,Quicken Loans Arena,31.97,0
21800356,05/12/2018,Amway Center,68.41,0
21800357,05/12/2018,State Farm Arena,43.96,0
21800358,05/12/2018,Barclays Center,36.24,0
21800359,05/12/2018,Scotiabank Arena,29.5,NULL
21800360,05/12/2018,Fedex Forum,35.87,0
21800361,05/12/2018,Fiserv Forum,30.1,0
21800362,05/12/2018,Target Center,21.87,0
21800363,05/12/2018,Smoothie King Center,55.2,0
21800364,05/12/2018,Staples Center,69.63,0
21800365,06/12/2018,Td Garden,31.52,0
21800366,06/12/2018,Moda Center,43.26,0
21800367,06/12/2018,Vivint Smart Home Arena,31.97,0
21800368,07/12/2018,Spectrum Center,39.86,0
21800369,07/12/2018,Little Caesars Arena,30.79,0
21800370,07/12/2018,Amway Center,60.74,0
21800371,07/12/2018,Barclays Center,37.56,0
21800372,07/12/2018,Quicken Loans Arena,32.26,0.2048
21800373,07/12/2018,United Center,26.92,0
21800374,07/12/2018,Smoothie King Center,54.51,0
21800375,07/12/2018,At&t Center,60.06,0
21800376,07/12/2018,Talking Stick Resort Arena,58.89,0
21800377,07/12/2018,Fiserv Forum,22.74,0
21800378,08/12/2018,American Airlines Center,45.07,0.0363
21800379,08/12/2018,Bankers Life Fieldhouse,27.52,0
21800380,08/12/2018,State Farm Arena,44.56,0.0038
21800381,08/12/2018,Quicken Loans Arena,28.55,0
21800382,08/12/2018,Madison Square Garden,32.49,0
21800383,08/12/2018,United Center,21.82,0
21800384,08/12/2018,Fedex Forum,40.91,0.0035
21800385,08/12/2018,Moda Center,39.67,0
21800386,08/12/2018,Staples Center,67.95,0
21800387,09/12/2018,Little Caesars Arena,28.53,0
21800388,09/12/2018,Scotiabank Arena,30.56,NULL
21800389,09/12/2018,Madison Square Garden,32.1,0
21800390,09/12/2018,At&t Center,48.18,0.0005
21800391,10/12/2018,Bankers Life Fieldhouse,29.74,0
21800392,10/12/2018,Wells Fargo Arena,70.33,0
21800393,10/12/2018,Td Garden,31.17,0
21800394,10/12/2018,United Center,28.65,0
21800395,10/12/2018,Fiserv Forum,22.36,0
21800396,10/12/2018,Chesapeake Energy Arena,43.66,0
21800397,10/12/2018,American Airlines Center,49.83,0
21800398,10/12/2018,Pepsi Center,43.23,0
21800399,10/12/2018,Talking Stick Resort Arena,70.37,0
21800400,10/12/2018,Oracle Arena,51.85,0
21800401,10/12/2018,Staples Center,69.51,0
21800402,11/12/2018,Toyota Center,57.26,0
21800403,11/12/2018,At&t Center,59.18,0
21800404,11/12/2018,Staples Center,66.22,0
21800405,12/12/2018,Spectrum Center,41.91,0.0017
21800406,12/12/2018,Quicken Loans Arena,33.36,0
21800407,12/12/2018,Bankers Life Fieldhouse,36.12,0
21800408,12/12/2018,Wells Fargo Arena,68.4,0
21800409,12/12/2018,Capital Center,37.05,0
21800410,12/12/2018,Fedex Forum,45.33,0
21800411,12/12/2018,Smoothie King Center,51.79,0
21800412,12/12/2018,American Airlines Center,56.6,0
21800413,12/12/2018,Vivint Smart Home Arena,33.76,0
21800414,12/12/2018,Golden 1 Center,57.12,0
21800415,12/12/2018,Oracle Arena,58.47,0
21800416,13/12/2018,Toyota Center,67.24,0
21800417,13/12/2018,At&t Center,62.98,0
21800418,13/12/2018,Amway Center,57.92,0
21800419,13/12/2018,Talking Stick Resort Arena,66.61,0
21800420,14/12/2018,Td Garden,30.62,0
21800421,14/12/2018,Spectrum Center,45.63,0
21800422,14/12/2018,Barclays Center,37.52,0.0006
21800423,14/12/2018,Quicken Loans Arena,39.65,0
21800424,14/12/2018,Wells Fargo Arena,67.87,0
21800425,14/12/2018,Fedex Forum,57.18,0.0011
21800426,14/12/2018,Pepsi Center,41.31,0
21800427,14/12/2018,Moda Center,52.36,0
21800428,14/12/2018,Golden 1 Center,58.17,0
21800429,15/12/2018,Amway Center,72.43,0.004
21800430,15/12/2018,Spectrum Center,43.12,0.0024
21800431,15/12/2018,Little Caesars Arena,42.71,0
21800432,15/12/2018,Fedex Forum,51.75,0.0736
21800433,15/12/2018,At&t Center,56.7,0
21800434,15/12/2018,Chesapeake Energy Arena,50.14,0
21800435,15/12/2018,Talking Stick Resort Arena,65.16,0
21800436,16/12/2018,Barclays Center,49.95,0
21800437,16/12/2018,Quicken Loans Arena,41.18,0.0087
21800438,16/12/2018,Bankers Life Fieldhouse,42.26,0.0017
21800439,16/12/2018,Capital Center,52.43,0.0763
21800440,16/12/2018,American Airlines Center,59.39,0
21800441,16/12/2018,Smoothie King Center,52.99,0
21800442,16/12/2018,Pepsi Center,53.6,0
21800443,17/12/2018,Little Caesars Arena,42,0
21800444,17/12/2018,Madison Square Garden,39.4,0.0474
21800445,17/12/2018,Toyota Center,63.28,0
21800446,17/12/2018,Target Center,40.69,0
21800447,17/12/2018,Chesapeake Energy Arena,51.29,0
21800448,17/12/2018,At&t Center,66,0
21800449,17/12/2018,Oracle Arena,58.73,0.0304
21800450,17/12/2018,Staples Center,70.21,0
21800451,18/12/2018,Bankers Life Fieldhouse,36.82,0
21800452,18/12/2018,State Farm Arena,54.92,0
21800453,18/12/2018,Barclays Center,42.65,0
21800454,18/12/2018,Pepsi Center,55.35,0
21800455,19/12/2018,Spectrum Center,50.31,0
21800456,19/12/2018,Amway Center,61.3,0
21800457,19/12/2018,Wells Fargo Arena,68.47,0
21800458,19/12/2018,Td Garden,28.23,0
21800459,19/12/2018,Scotiabank Arena,29.5,NULL
21800460,19/12/2018,United Center,38.31,0
21800461,19/12/2018,Toyota Center,61.79,0
21800462,19/12/2018,Fiserv Forum,39.04,0
21800463,19/12/2018,Target Center,38.15,0
21800464,19/12/2018,Vivint Smart Home Arena,45.46,0
21800465,19/12/2018,Moda Center,55.3,0
21800466,19/12/2018,Golden 1 Center,62.03,0
21800467,20/12/2018,American Airlines Center,58.37,0.0003
21800468,20/12/2018,Staples Center,75,0
21800469,21/12/2018,Spectrum Center,58.12,0.0562
21800470,21/12/2018,Scotiabank Arena,39.19,NULL
21800471,21/12/2018,Barclays Center,43.38,0.0329
21800472,21/12/2018,Madison Square Garden,42.94,0.0329
21800473,21/12/2018,Td Garden,43.21,0
21800474,21/12/2018,United Center,44.99,0.0013
21800475,21/12/2018,At&t Center,63.28,0
21800476,21/12/2018,Moda Center,51.1,0
21800477,21/12/2018,Golden 1 Center,53.96,0
21800478,21/12/2018,Staples Center,77.6,0
21800479,22/12/2018,Staples Center,70.17,0
21800480,22/12/2018,Capital Center,57.91,0.0027
21800481,22/12/2018,Wells Fargo Arena,67.71,0
21800482,22/12/2018,American Airlines Center,58.87,0
21800483,22/12/2018,Toyota Center,62.18,0
21800484,22/12/2018,Oracle Arena,56.48,0
21800485,22/12/2018,Vivint Smart Home Arena,44.99,0
21800486,23/12/2018,Little Caesars Arena,33.55,0
21800487,23/12/2018,Bankers Life Fieldhouse,36.82,0
21800488,23/12/2018,Td Garden,39.27,0
21800489,23/12/2018,Barclays Center,43,0
21800490,23/12/2018,Quicken Loans Arena,33.89,0
21800491,23/12/2018,Amway Center,55.22,0
21800492,23/12/2018,Golden 1 Center,54.04,0
21800493,23/12/2018,Chesapeake Energy Arena,53.42,0
21800494,23/12/2018,Oracle Arena,57.11,0
21800495,23/12/2018,Moda Center,42.96,0
21800496,23/12/2018,Staples Center,69.39,0
21800497,25/12/2018,Madison Square Garden,40.33,0
21800498,25/12/2018,Toyota Center,60.14,0
21800499,25/12/2018,Td Garden,34.51,0
21800500,25/12/2018,Oracle Arena,57.96,0.1171
21800501,25/12/2018,Vivint Smart Home Arena,42.14,0
21800502,26/12/2018,Little Caesars Arena,32.89,0
21800503,26/12/2018,Amway Center,65.97,0
21800504,26/12/2018,State Farm Arena,53.67,0
21800505,26/12/2018,Barclays Center,36.93,0
21800506,26/12/2018,American Airlines Center,63.07,0.0004
21800507,26/12/2018,United Center,41.64,0
21800508,26/12/2018,Fedex Forum,54.73,0
21800509,26/12/2018,American Airlines Center,63.07,0.0004
21800510,26/12/2018,At&t Center,71.12,0
21800511,26/12/2018,Staples Center,64.05,0
21800512,27/12/2018,Toyota Center,66,0.04
21800513,27/12/2018,Fiserv Forum,36.83,0
21800514,27/12/2018,Golden 1 Center,56.09,0
21800515,27/12/2018,Vivint Smart Home Arena,31.42,0
21800516,27/12/2018,Oracle Arena,57.85,0
21800517,28/12/2018,Spectrum Center,46.15,0
21800518,28/12/2018,Bankers Life Fieldhouse,46.04,0.0353
21800519,28/12/2018,Amway Center,73.39,0
21800520,28/12/2018,Capital Center,47.38,0
21800521,28/12/2018,American Airlines Center,54.77,0
21800522,28/12/2018,Target Center,35.23,0.0319
21800523,28/12/2018,Smoothie King Center,72.69,0.0019
21800524,28/12/2018,Pepsi Center,26.77,0
21800525,28/12/2018,Talking Stick Resort Arena,58.05,0
21800526,28/12/2018,Staples Center,62.12,0
21800527,29/12/2018,Fiserv Forum,32.05,0
21800528,29/12/2018,Smoothie King Center,63.38,0
21800529,29/12/2018,State Farm Arena,59.62,0
21800530,29/12/2018,Capital Center,54.1,0
21800531,29/12/2018,Fedex Forum,46.23,0
21800532,29/12/2018,Vivint Smart Home Arena,25.58,0
21800533,29/12/2018,Talking Stick Resort Arena,54.1,0
21800534,29/12/2018,Moda Center,44.53,0.0219
21800535,29/12/2018,Staples Center,59.43,0
21800536,30/12/2018,Amway Center,74.79,0
21800537,30/12/2018,American Airlines Center,40.78,0
21800538,30/12/2018,Scotiabank Arena,24.64,NULL
21800539,30/12/2018,American Airlines Center,40.78,0
21800540,30/12/2018,Moda Center,52.18,0
21800541,30/12/2018,Staples Center,61.6,0
21800542,31/12/2018,Bankers Life Fieldhouse,34.92,0
21800543,31/12/2018,Spectrum Center,55.16,0
21800544,31/12/2018,Toyota Center,48.39,0.0156
21800545,31/12/2018,At&t Center,42.21,0.0069
21800546,31/12/2018,Smoothie King Center,69.47,0
21800547,31/12/2018,Chesapeake Energy Arena,38.71,0
21800548,31/12/2018,Talking Stick Resort Arena,56.16,0
21800549,01/01/2019,Scotiabank Arena,36.97,0.0609
21800550,01/01/2019,Fiserv Forum,34.16,0.0323
21800551,01/01/2019,Pepsi Center,12.08,0
21800552,01/01/2019,Golden 1 Center,54.95,0
21800553,01/01/2019,Staples Center,60.15,0
21800554,02/01/2019,Spectrum Center,61.54,0
21800555,02/01/2019,Quicken Loans Arena,34,0
21800556,02/01/2019,Capital Center,50.81,0
21800557,02/01/2019,Barclays Center,45.11,0
21800558,02/01/2019,Td Garden,43.31,0
21800559,02/01/2019,United Center,27.65,0
21800560,02/01/2019,Fedex Forum,44.98,0
21800561,02/01/2019,Talking Stick Resort Arena,50.46,0
21800562,02/01/2019,Staples Center,58.3,0
21800563,03/01/2019,At&t Center,41.48,0.0263
21800564,03/01/2019,Golden 1 Center,53.04,0
21800565,03/01/2019,Oracle Arena,54.52,0
21800566,04/01/2019,Td Garden,39.8,0
21800567,04/01/2019,Quicken Loans Arena,34.08,0
21800568,04/01/2019,American Airlines Center,39.72,0
21800569,04/01/2019,United Center,37.1,0
21800570,04/01/2019,Fedex Forum,43.89,0
21800571,04/01/2019,Target Center,38.59,0.0003
21800572,04/01/2019,Fiserv Forum,36.5,0
21800573,04/01/2019,Talking Stick Resort Arena,56.14,0
21800574,04/01/2019,Staples Center,66.34,0
21800575,04/01/2019,Moda Center,53.54,0
21800576,05/01/2019,Pepsi Center,61.43,0
21800577,05/01/2019,Little Caesars Arena,43.59,0
21800578,05/01/2019,Wells Fargo Arena,66.34,0
21800579,05/01/2019,Quicken Loans Arena,44.48,0
21800580,05/01/2019,Fiserv Forum,38.47,0
21800581,05/01/2019,At&t Center,68.46,0
21800582,05/01/2019,Moda Center,50.96,0
21800583,05/01/2019,Golden 1 Center,55.38,0
21800584,06/01/2019,United Center,47.75,0
21800585,06/01/2019,Target Center,40.2,0
21800586,06/01/2019,Staples Center,56.81,0
21800587,06/01/2019,State Farm Arena,55.39,0
21800588,06/01/2019,Chesapeake Energy Arena,61.86,0
21800589,06/01/2019,Scotiabank Arena,34.88,NULL
21800590,06/01/2019,Talking Stick Resort Arena,66.01,0
21800591,07/01/2019,Little Caesars Arena,36.16,0
21800592,07/01/2019,Td Garden,35.44,0
21800593,07/01/2019,Toyota Center,69.16,0
21800594,07/01/2019,Fiserv Forum,34.54,0
21800595,07/01/2019,Smoothie King Center,64,0
21800596,07/01/2019,American Airlines Center,63.44,0
21800597,07/01/2019,Moda Center,42.7,0.0131
21800598,07/01/2019,Golden 1 Center,48.89,0.0405
21800599,08/01/2019,Quicken Loans Arena,47.43,0.0656
21800600,08/01/2019,Wells Fargo Arena,63.11,0
21800601,08/01/2019,American Airlines Center,72.09,0
21800602,08/01/2019,Scotiabank Arena,32.27,NULL
21800603,08/01/2019,Chesapeake Energy Arena,64.11,0
21800604,08/01/2019,Talking Stick Resort Arena,63.31,0
21800605,08/01/2019,Oracle Arena,58.13,0
21800606,08/01/2019,Staples Center,59.32,0
21800607,09/01/2019,Td Garden,40.12,0
21800608,09/01/2019,Capital Center,53.26,0
21800609,09/01/2019,Barclays Center,41.79,0
21800610,09/01/2019,Toyota Center,73.51,0
21800611,09/01/2019,Fedex Forum,58.7,0
21800612,09/01/2019,Smoothie King Center,70.65,0
21800613,09/01/2019,American Airlines Center,64.09,0
21800614,09/01/2019,Vivint Smart Home Arena,40.84,0
21800615,09/01/2019,Moda Center,46.4,0
21800616,09/01/2019,Staples Center,70.33,0
21800617,10/01/2019,American Airlines Center,57.75,0
21800618,10/01/2019,Pepsi Center,50.02,0
21800619,10/01/2019,At&t Center,61.13,0
21800620,10/01/2019,Golden 1 Center,61.4,0
21800621,11/01/2019,Wells Fargo Arena,65.13,0
21800622,11/01/2019,Capital Center,32.03,0
21800623,11/01/2019,Madison Square Garden,32.01,0
21800624,11/01/2019,Scotiabank Arena,18.69,0.0012
21800625,11/01/2019,Toyota Center,59.93,0
21800626,11/01/2019,Target Center,23.59,0
21800627,11/01/2019,Vivint Smart Home Arena,38.74,0
21800628,11/01/2019,Moda Center,52.72,0
21800629,11/01/2019,Oracle Arena,58.12,0
21800630,12/01/2019,Staples Center,63.21,0
21800631,12/01/2019,American Airlines Center,51.9,0.003
21800632,12/01/2019,Amway Center,64.39,0
21800633,12/01/2019,Target Center,30.74,0
21800634,12/01/2019,Chesapeake Energy Arena,42.72,0.0248
21800635,12/01/2019,Talking Stick Resort Arena,65.76,0
21800636,12/01/2019,Golden 1 Center,57.93,0
